,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A008004A050a,"멥쌀, 농림나1호, 칠분도미, 생것",370 ,12.4 ,5.6 ,1.9 ,0.9 ,79.2 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('09),22,A008004A050a,"멥쌀, 농림나1호, 칠분도미, 생것",32 ,-,-,226 ,298 ,9 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.43 ,0.05 ,1.3,-,-,-,-,-,0 ,농진청('09)
,,"Rice, Brown, 94.4% Milling yield, Nonglimna 1, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, 94.4% Milling yield, Nonglimna 1, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A008004A060a,"멥쌀, 농림나1호, 현미, 생것",371 ,12.9 ,5.8 ,4.8 ,1.2 ,75.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('09),23,A008004A060a,"멥쌀, 농림나1호, 현미, 생것",14 ,0.8 ,-,305 ,275 ,1 ,-,-,-,-,-,-,0 ,1 ,-,-,-,0.54 ,0.06 ,1.4,-,-,-,-,-,-,농진청('09)
,,"Rice, Brown, Nonglimna 1, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Nonglimna 1, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A008007A030a,"멥쌀, 미국산, 백미, 생것",365 ,12.6 ,5.7 ,0.2 ,0.3 ,81.2 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),24,A008007A030a,"멥쌀, 미국산, 백미, 생것",1 ,1.2 ,-,33 ,67 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.07 ,0.02 ,1.1,-,-,-,-,-,0 ,농진청('94)
,,"Rice, White, Japonica, USA, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Japonica, USA, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A008009A060a,"멥쌀, 발아현미, 현미, 생것",371 ,10.3 ,7.0 ,2.3 ,1.0 ,79.4 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('02),25,A008009A060a,"멥쌀, 발아현미, 현미, 생것",8 ,3.3 ,-,233 ,128 ,3 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.25 ,0.06 ,1.2,-,-,-,-,-,0 ,농진청('02)
,,"Rice, Brown, Germinated, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Germinated, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A008010A030a,"멥쌀, 밭벼, 백미, 생것",357 ,14.9 ,9.3 ,0.9 ,0.4 ,74.5 ,0.2 ,0.5 ,9000 ,-,-,(0.81),-,(0.29),(0.21),(0.31),(0),0,0 ,JAPAN('15),26,A008010A030a,"멥쌀, 밭벼, 백미, 생것",5 ,0.8 ,23 ,95 ,89 ,1 ,1.4 ,0.22 ,0.59 ,-,-,-,(0),0,(0),0.1 ,(0),0.08 ,0.02 ,1.2,0.66 ,0.12 ,-,12 ,(0),(0),JAPAN('15)
,,"Rice, White, Unland rice, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Unland rice, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
