,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,C0150000009a,젤리,327 ,18.2 ,0 ,0.1 ,0.1 ,81.6 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,국('83),396,C0150000009a,젤리,7 ,1.6 ,-,12 ,9 ,1 ,-,-,-,-,-,-,0 ,0 ,-,-,-,-,0.01 ,-,-,-,-,-,-,0 ,국('83)
,,Jelly,,,,,,,,,,,,,,,,,,,,,,,Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,C0160010009a,"조청, 감 ",201 ,48.0 ,3.0 ,0.1 ,1.9 ,47.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('96),397,C0160010009a,"조청, 감 ",97 ,12.9 ,-,312 ,1058 ,12 ,-,-,-,-,-,-,0 ,9 ,-,-,-,0.38 ,0.79 ,1.8,-,-,-,-,-,44 ,농진청('96)
,,"Chochung, Korean traditional syrups, Persimmon",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Persimmon",,,,,,,,,,,,,,,,,,,,,,,,,,,
398,C0160020009a,"조청, 고구마",289 ,20.6 ,1.38 ,0.35 ,0.67 ,77.00 ,46.86 ,1.0 ,965 ,385 ,580 ,0.34 ,0.12 ,0.14 ,0.08 ,0.12 ,0 ,0 ,0 ,농진청('14),398,C0160020009a,"조청, 고구마",4 ,0.30 ,12 ,41 ,87 ,3 ,0.22 ,0.007 ,0.196 ,0.50 ,5.07 ,0 ,0 ,0 ,0 ,0.15 ,0 ,0.141 ,0.088 ,1.202,0 ,0.044 ,0 ,37 ,0 ,1.01 ,농진청('14)
,,"Chochung, Korean traditional syrups, Sweet potato",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Sweet potato",,,,,,,,,,,,,,,,,,,,,,,,,,,
399,C0160030009a,"조청, 도라지",323 ,11.8 ,1.7 ,0.1 ,0.4 ,86.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('10),399,C0160030009a,"조청, 도라지",14 ,0.4 ,-,33 ,135 ,19 ,-,-,-,-,-,-,0 ,1 ,-,-,-,0.20 ,0.13 ,0.2,-,-,-,-,-,0 ,농진청('10)
,,"Chochung, Korean traditional syrups, Balloon flower roots",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Balloon flower roots",,,,,,,,,,,,,,,,,,,,,,,,,,,
400,C0160040009a,"조청, 배",238 ,34.2 ,2.1 ,0 ,1.4 ,62.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('05),400,C0160040009a,"조청, 배",16 ,2.9 ,-,95 ,758 ,7 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.35 ,0.79 ,0.2,-,-,-,-,-,27 ,농진청('05)
,,"Chochung, Korean traditional syrups, Pears",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Pears",,,,,,,,,,,,,,,,,,,,,,,,,,,
401,C0160050009a,"조청, 산수유",299 ,18.1 ,0.3 ,tr,0.7 ,80.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('06),401,C0160050009a,"조청, 산수유",34 ,1.0 ,-,15 ,355 ,7 ,-,-,-,-,-,-,0 ,31 ,-,-,-,0.34 ,0.86 ,0.9,-,-,-,-,-,33 ,농진청('06)
,,"Chochung, Korean traditional syrups, Goji berries",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Goji berries",,,,,,,,,,,,,,,,,,,,,,,,,,,
402,C0160060009a,"조청, 쌀",326 ,10.9 ,0.53 ,0.24 ,0.43 ,87.90 ,49.91 ,0 ,231 ,75 ,156 ,0.22 ,0.08 ,0.09 ,0.05 ,0.08 ,0 ,0.1 ,0 ,농진청('14),402,C0160060009a,"조청, 쌀",52 ,0.15 ,16 ,37 ,127 ,21 ,0.10 ,0 ,0.145 ,0.27 ,8.07 ,0 ,0 ,0 ,0 ,0.10 ,0 ,0.077 ,0.042 ,0.813,0.209 ,0.044 ,0 ,0 ,0 ,0 ,농진청('14)
,,"Chochung, Korean traditional syrups, Rice",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Rice",,,,,,,,,,,,,,,,,,,,,,,,,,,
403,C0160070009a,"조청, 오가피",286 ,21.8 ,0.4 ,0.1 ,0.4 ,77.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,-,농진청('02),403,C0160070009a,"조청, 오가피",3 ,0.9 ,-,30 ,116 ,6 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.06 ,0.04 ,1.8,-,-,-,-,-,12 ,농진청('02)
,,"Chochung, Korean traditional syrups, Siberian-ginseng",,,,,,,,,,,,,,,,,,,,,,,"Chochung, Korean traditional syrups, Siberian-ginseng",,,,,,,,,,,,,,,,,,,,,,,,,,,
404,C0170010009a,"초콜릿, 감잎 초콜릿",543 ,7.8 ,4.0 ,35.7 ,1.0 ,51.5 ,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0 ,농진청('05),404,C0170010009a,"초콜릿, 감잎 초콜릿",99 ,2.0 ,-,122 ,325 ,85 ,-,-,-,-,-,-,-,400 ,-,-,-,0.13 ,0.23 ,0.5,-,-,-,-,-,7 ,농진청('05)
,,"Chocolates, Persimmon(Diospyros kaki Thunb.) Leaves",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Persimmon(Diospyros kaki Thunb.) Leaves",,,,,,,,,,,,,,,,,,,,,,,,,,,
405,C0170020009a,"초콜릿, 다크 초콜릿",598 ,1.37 ,7.79 ,42.63 ,2.32 ,45.90 ,23.99 ,10.9 ,-,-,-,38.557 ,-,24.489 ,12.781 ,1.257 ,3 ,0.1 ,0 ,USDA('15),405,C0170020009a,"초콜릿, 다크 초콜릿",73 ,11.90 ,228 ,308 ,715 ,20 ,3.31 ,1.766 ,1.948 ,6.8 ,-,-,19 ,7 ,-,10.08 ,7.3 ,0.034 ,0.078 ,1.054,0.418 ,0.038 ,-,-,0.28 ,-,USDA('15)
,,"Chocolates, Dark",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Dark",,,,,,,,,,,,,,,,,,,,,,,,,,,
406,C0170030009a,"초콜릿, 땅콩 초콜릿",519 ,1.90 ,13.10 ,33.50 ,1.80 ,49.70 ,37.59 ,4.7 ,-,-,-,31.850 ,-,14.600 ,12.920 ,4.330 ,9 ,0.1 ,0 ,USDA('15),406,C0170030009a,"초콜릿, 땅콩 초콜릿",104 ,1.31 ,96 ,212 ,502 ,41 ,2.60 ,0.544 ,0.945 ,5.4 ,-,-,41 ,0 ,0 ,2.40 ,4.0 ,0.116 ,0.174 ,4.249,0.744 ,0.100 ,-,51 ,0.53 ,0 ,USDA('15)
,,"Chocolates, Peanut",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Peanut",,,,,,,,,,,,,,,,,,,,,,,,,,,
407,C0170040009a,"초콜릿, 밀크 라이스 시리얼 초콜릿",511 ,1.52 ,7.64 ,29.37 ,1.78 ,59.67 ,51.06 ,3.3 ,-,-,-,25.310 ,-,15.890 ,8.640 ,0.780 ,23 ,0.2 ,0 ,USDA('15),407,C0170040009a,"초콜릿, 밀크 라이스 시리얼 초콜릿",187 ,2.65 ,62 ,207 ,370 ,86 ,2.29 ,0.488 ,0.477 ,4.6 ,-,-,65 ,0 ,0 ,1.41 ,5.7 ,0.131 ,0.323 ,0.672,0.471 ,0.055 ,-,21 ,0.80 ,0.6 ,USDA('15)
,,"Chocolates, Milk, Rice cereal",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Milk, Rice cereal",,,,,,,,,,,,,,,,,,,,,,,,,,,
408,C0170050009a,"초콜릿, 밀크 아몬드 초콜릿",526 ,1.50 ,9.00 ,34.40 ,1.70 ,53.40 ,43.90 ,6.2 ,-,-,-,32.680 ,-,17.701 ,11.960 ,3.019 ,19 ,0.2 ,0 ,USDA('15),408,C0170050009a,"초콜릿, 밀크 아몬드 초콜릿",224 ,1.63 ,90 ,264 ,444 ,74 ,1.34 ,0.422 ,0.624 ,4.0 ,-,-,52 ,0 ,0 ,3.14 ,5.1 ,0.060 ,0.435 ,0.742,0.455 ,0.045 ,-,13 ,0.67 ,0.2 ,USDA('15)
,,"Chocolates, Milk, Almond",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Milk, Almond",,,,,,,,,,,,,,,,,,,,,,,,,,,
409,C0170060009a,"초콜릿, 밀크(우유) 초콜릿",572 ,1.5 ,8.1 ,36.9 ,1.7 ,51.8 ,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0 ,한식('96),409,C0170060009a,"초콜릿, 밀크(우유) 초콜릿",198 ,2.8 ,-,234 ,450 ,90 ,-,-,-,-,-,-,25 ,30 ,-,-,-,0.09 ,0.18 ,0.4,-,-,-,-,-,0 ,한식('96)
,,"Chocolates, Milk",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Milk",,,,,,,,,,,,,,,,,,,,,,,,,,,
410,C0170080009a,"초콜릿, 스위트 초콜릿",507 ,0.50 ,3.90 ,34.20 ,1.00 ,60.40 ,51.48 ,-,3401 ,-,-,32.290 ,-,20.080 ,11.220 ,0.990 ,0 ,0 ,0 ,USDA('15),410,C0170080009a,"초콜릿, 스위트 초콜릿",24 ,2.76 ,113 ,147 ,290 ,16 ,1.50 ,0.574 ,0.494 ,2.8 ,-,-,0 ,0 ,0 ,0.26 ,6.3 ,0.020 ,0.240 ,0.670,0.071 ,0.043 ,-,3 ,0 ,0 ,USDA('15)
,,"Chocolates, Sweet",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, Sweet",,,,,,,,,,,,,,,,,,,,,,,,,,,
411,C0170100009a,"초콜릿, 화이트 초콜릿",539 ,1.30 ,5.87 ,32.09 ,1.50 ,59.24 ,59.00 ,0.2 ,-,-,-,29.522 ,-,19.412 ,9.097 ,1.013 ,21 ,0.2 ,0 ,USDA('15),411,C0170100009a,"초콜릿, 화이트 초콜릿",199 ,0.24 ,12 ,176 ,286 ,90 ,0.74 ,-,-,-,-,-,9 ,0 ,0 ,0.96 ,9.1 ,0.063 ,0.282 ,0.745,-,0.056 ,-,7 ,0.56 ,0.5 ,USDA('15)
,,"Chocolates, White",,,,,,,,,,,,,,,,,,,,,,,"Chocolates, White",,,,,,,,,,,,,,,,,,,,,,,,,,,
412,C0180010009a,"카라멜, 밀크(우유)",423 ,6.8 ,1.8 ,10.7 ,0.8 ,79.9 ,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0 ,한식('96),412,C0180010009a,"카라멜, 밀크(우유)",-,0.5 ,-,68 ,118 ,98 ,-,-,-,-,-,-,21 ,0 ,-,-,-,0.04 ,0.11 ,0.1,-,-,-,-,-,0 ,한식('96)
,,"Caramel, Milk",,,,,,,,,,,,,,,,,,,,,,,"Caramel, Milk",,,,,,,,,,,,,,,,,,,,,,,,,,,
413,C0190000009a,포도당,335 ,9.0,(0),(0),0,91.0,88.3 ,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),413,C0190000009a,포도당,Tr,0.1 ,0,1 ,Tr,Tr,0,Tr,0,-,-,-,(0),-,(0),0 ,(0),(0),(0),(0),(0),(0),-,(0),(0),(0),JAPAN('15)
,,Glucose(Dextrose),,,,,,,,,,,,,,,,,,,,,,,Glucose(Dextrose),,,,,,,,,,,,,,,,,,,,,,,,,,,
414,C020001000Pa,"푸딩, 바닐라 가루, 우유에 섞은것",114 ,73.50 ,2.70 ,2.90 ,1.30 ,19.70 ,18.03 ,0 ,2734 ,-,-,2.730 ,-,1.740 ,0.840 ,0.150 ,11 ,0.7 ,0 ,USDA('15),414,C020001000Pa,"푸딩, 바닐라 가루, 우유에 섞은것",101 ,0.07 ,12 ,197 ,128 ,286 ,0.33 ,0.024 ,0.007 ,1.6 ,-,-,23 ,18 ,-,-,-,0.033 ,0.136 ,0.074,0.262 ,0.036 ,-,4 ,0.30 ,0.8 ,USDA('15)
,,"Puddings dry mix, Vanilla powder added milk",,,,,,,,,,,,,,,,,,,,,,,"Puddings dry mix, Vanilla powder added milk",,,,,,,,,,,,,,,,,,,,,,,,,,,
415,C0200020009a,"푸딩, 커스터드",126 ,74.1 ,5.5 ,5.0,0.7 ,14.7 ,13.6 ,-,5498 ,-,-,3.91 ,-,1.92 ,1.47 ,0.52 ,140 ,0.2 ,0 ,JAPAN('15),415,C0200020009a,"푸딩, 커스터드",81 ,0.6 ,10 ,110 ,140 ,67 ,0.6 ,0.03 ,0.01 ,12 ,4 ,17 ,78 ,0,Tr,0.5 ,4 ,0.05 ,0.26 ,Tr,0.67 ,0.04 ,9.7 ,15 ,0.4 ,(0),JAPAN('15)
,,"Puddings, Custard",,,,,,,,,,,,,,,,,,,,,,,"Puddings, Custard",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,D0010000000a,"강낭콩, 생것",172 ,56 ,9 ,1 ,2 ,32 ,0 ,14 ,8364 ,3957 ,4407 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,43 ,농진청('13),416,D0010000000a,"강낭콩, 생것",49 ,3 ,89 ,281 ,730 ,0 ,1 ,0 ,1 ,4 ,240 ,0 ,0 ,53 ,0 ,1 ,2 ,0 ,0 ,1.881,0 ,0 ,0 ,63 ,0 ,2.12 ,농진청('13)
,,"Kidney bean(Phaseolus vulgaris), Raw",,,,,,,,,,,,,,,,,,,,,,,"Kidney bean(Phaseolus vulgaris), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
417,D0010000001a,"강낭콩, 말린것",350 ,10 ,21 ,1 ,3 ,64 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('00),417,D0010000001a,"강낭콩, 말린것",99 ,9 ,-,338 ,-,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0 ,0 ,1.9,-,-,-,-,-,0.00 ,농진청('00)
,,"Kidney bean(Phaseolus vulgaris), Dried",,,,,,,,,,,,,,,,,,,,,,,"Kidney bean(Phaseolus vulgaris), Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
418,D0010000009b,"강낭콩, 삶은것",170 ,57 ,8 ,1 ,2 ,32 ,0 ,15 ,8183 ,3834 ,4349 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,농진청('13),418,D0010000009b,"강낭콩, 삶은것",59 ,3 ,83 ,270 ,575 ,3 ,1 ,0 ,1 ,3 ,237 ,0 ,0 ,90 ,0 ,1 ,0 ,0 ,0 ,1.095,0 ,0 ,0 ,83 ,0 ,2.12 ,농진청('13)
,,"Kidney bean(Phaseolus vulgaris), Boiled",,,,,,,,,,,,,,,,,,,,,,,"Kidney bean(Phaseolus vulgaris), Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
419,D0020000001a,"녹두, 말린것",352 ,9 ,25 ,2 ,4 ,60 ,0 ,22 ,21913 ,10436 ,11477 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,농진청('13),419,D0020000001a,"녹두, 말린것",100 ,4 ,174 ,441 ,1420 ,1 ,3 ,1 ,1 ,16 ,168 ,1 ,0 ,243 ,0 ,8 ,63 ,0 ,0 ,1.634,3 ,0 ,0 ,428 ,0 ,5.29 ,농진청('13)
,,"Mungbean, Dried",,,,,,,,,,,,,,,,,,,,,,,"Mungbean, Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
420,D0020000009b,"녹두, 삶은것",158 ,60.0 ,11.29 ,0.67 ,1.38 ,26.66 ,0 ,9.8 ,10228 ,4903 ,5325 ,0.64 ,0.36 ,0.25 ,0.03 ,0.36 ,0 ,0 ,0 ,농진청('13),420,D0020000009b,"녹두, 삶은것",47 ,2.00 ,69 ,225 ,460 ,2 ,1.55 ,0.240 ,0.527 ,7.09 ,96.63 ,0.83 ,0 ,111 ,0 ,0.62 ,42.00 ,0.037 ,0.118 ,0.131,0.472 ,0.024 ,0 ,174 ,0 ,0 ,농진청('13)
,,"Mungbean, Boiled",,,,,,,,,,,,,,,,,,,,,,,"Mungbean, Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
421,D0030000005a,"녹두 빈대떡, 가루 ",347 ,9.9 ,20.7 ,1.2 ,4.8 ,63.4 ,-,-,-,-,-,-,-,-,-,-,-,1.8 ,0 ,식약('96),421,D0030000005a,"녹두 빈대떡, 가루 ",55 ,4.2 ,-,514 ,1004 ,723 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.19 ,0.15 ,1.9,-,-,-,-,-,0 ,식약('96)
,,Mungbean pancake mix,,,,,,,,,,,,,,,,,,,,,,,Mungbean pancake mix,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,D003000056Pa,"녹두 빈대떡가루, 반죽",98 ,75.6 ,6.2 ,0.6 ,0.6 ,17.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,식약('96),422,D003000056Pa,"녹두 빈대떡가루, 반죽",23 ,1.3 ,-,88 ,210 ,15 ,-,-,-,-,-,-,0 ,37 ,-,-,-,0.15 ,0.03 ,0.6,-,-,-,-,-,6 ,식약('96)
,,"Mungbean pancake mix, Batter, Prepared",,,,,,,,,,,,,,,,,,,,,,,"Mungbean pancake mix, Batter, Prepared",,,,,,,,,,,,,,,,,,,,,,,,,,,
423,D0040000001a,"녹두 국수, 말린것",356 ,11.8 ,0.2 ,0.4 ,0.1 ,87.5 ,0 ,4.1 ,-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),423,D0040000001a,"녹두 국수, 말린것",20 ,0.5 ,3 ,10 ,13 ,14 ,0.1 ,0.01 ,0.02 ,1 ,1 ,2 ,(0),(0),(0),0 ,(0),(0),(0),(0),(0),(0),-,(0),(0),(0),JAPAN('15)
,,"Mungbean noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,"Mungbean noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,,,,,
424,D0050000009a,녹두묵,36 ,90.8 ,0.1 ,0 ,0.1 ,9.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,식약('96),424,D0050000009a,녹두묵,5 ,0.4 ,-,32 ,4 ,17 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0 ,0 ,0.2,-,-,-,-,-,0 ,식약('96)
,,"Nokdumuk, Mungbean starch jelly",,,,,,,,,,,,,,,,,,,,,,,"Nokdumuk, Mungbean starch jelly",,,,,,,,,,,,,,,,,,,,,,,,,,,
425,D0060000000a,"동부, 생것",163 ,58.5 ,11.2 ,0.3 ,1.6 ,28.4 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,농진청('91),425,D0060000000a,"동부, 생것",28 ,3.3 ,-,89 ,-,-,-,-,-,-,-,-,0 ,11 ,-,-,-,0.32 ,0.41 ,0.8,-,-,-,-,-,13 ,농진청('91)
,,"Cowpea(Vigna unguiculata L. Walp.), Raw",,,,,,,,,,,,,,,,,,,,,,,"Cowpea(Vigna unguiculata L. Walp.), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
426,D0060000001a,"동부, 말린것",349 ,11.9 ,18.88 ,1.82 ,3.17 ,64.23 ,0 ,20.0 ,17001 ,8038 ,8963 ,1.75 ,0.96 ,0.62 ,0.17 ,0.96 ,0 ,0 ,0 ,농진청('14),426,D0060000001a,"동부, 말린것",44 ,4.32 ,180 ,550 ,1335 ,5 ,2.88 ,0.296 ,0.987 ,2.03 ,782.07 ,0 ,0 ,38 ,0 ,6.75 ,28.11 ,0.160 ,0.640 ,2.725,0 ,0.066 ,20.27 ,484 ,0 ,0 ,농진청('14)
,,"Cowpea(Vigna unguiculata L. Walp.), Dried",,,,,,,,,,,,,,,,,,,,,,,"Cowpea(Vigna unguiculata L. Walp.), Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
427,D0060000009b,"동부, 삶은것",147 ,63.6 ,8.12 ,1.03 ,0.85 ,26.40 ,0 ,10.4 ,7244 ,3476 ,3768 ,0.98 ,0.54 ,0.35 ,0.09 ,0.54 ,0 ,0 ,0 ,농진청('14),427,D0060000009b,"동부, 삶은것",22 ,1.93 ,58 ,167 ,255 ,3 ,1.17 ,0.073 ,0.442 ,0.31 ,298.50 ,0 ,0 ,22 ,0 ,3.37 ,13.58 ,0.030 ,0.647 ,0.172,0 ,0.023 ,5.22 ,129 ,0 ,0 ,농진청('14)
,,"Cowpea(Vigna unguiculata L. Walp.), Boiled",,,,,,,,,,,,,,,,,,,,,,,"Cowpea(Vigna unguiculata L. Walp.), Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
428,D0060010001a,"동부, 미얀마산, 말린것",345 ,13.5 ,22.08 ,2.07 ,2.92 ,59.43 ,0 ,20.6 ,19907 ,9417 ,10490 ,1.98 ,1.10 ,0.73 ,0.15 ,1.10 ,0 ,0 ,0 ,농진청('14),428,D0060010001a,"동부, 미얀마산, 말린것",88 ,4.54 ,177 ,408 ,1070 ,6 ,3.42 ,0.604 ,1.024 ,12.10 ,122.70 ,0 ,0 ,9 ,0 ,7.14 ,13.82 ,0.065 ,0.383 ,2.854,0 ,0.068 ,20.22 ,556 ,0 ,0 ,농진청('14)
,,"Cowpea(Vigna unguiculata L. Walp.), Imported, Myanmar, Dried",,,,,,,,,,,,,,,,,,,,,,,"Cowpea(Vigna unguiculata L. Walp.), Imported, Myanmar, Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
429,D0060010009b,"동부, 미얀마산, 삶은것",155 ,61.8 ,10.02 ,1.12 ,0.78 ,26.28 ,0 ,11.3 ,9021 ,4343 ,4678 ,1.08 ,0.60 ,0.40 ,0.08 ,0.60 ,0 ,0 ,0 ,농진청('14),429,D0060010009b,"동부, 미얀마산, 삶은것",43 ,1.82 ,57 ,151 ,209 ,2 ,1.50 ,0.165 ,0.530 ,3.04 ,25.66 ,0 ,0 ,6 ,0 ,4.11 ,9.29 ,0.023 ,0.337 ,0.161,0 ,0.023 ,4.12 ,97 ,0 ,0 ,농진청('14)
,,"Cowpea(Vigna unguiculata L. Walp.), Imported, Myanmar, Boiled",,,,,,,,,,,,,,,,,,,,,,,"Cowpea(Vigna unguiculata L. Walp.), Imported, Myanmar, Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
430,D0070000001a,"리마콩, 말린것",351 ,11.7 ,21.9 ,1.8 ,3.8 ,60.8 ,1.2 ,19.6 ,21680 ,-,-,1.27 ,-,0.42 ,0.10,0.75 ,(0),0,0 ,JAPAN('15),430,D0070000001a,"리마콩, 말린것",78 ,6.2 ,170 ,250 ,1800 ,Tr,2.9 ,0.70,1.85 ,17 ,380 ,Tr,(0),5 ,(0),5.1 ,6 ,0.47 ,0.16 ,1.9,1.05 ,0.40,9.2 ,120 ,(0),0,JAPAN('15)
,,"Lima bean(Phaseolus lunatus L.), Dried",,,,,,,,,,,,,,,,,,,,,,,"Lima bean(Phaseolus lunatus L.), Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
431,D0070000009b,"리마콩, 삶은것",152 ,62.3 ,9.6 ,0.9 ,1.1 ,26.0,0.5 ,10.9 ,9600 ,-,-,(0.64),-,(0.21),(0.05),(0.38),(0),0,0 ,JAPAN('15),431,D0070000009b,"리마콩, 삶은것",27 ,2.3 ,52 ,95 ,490 ,0,1.1 ,0.25 ,0.73 ,-,-,-,(0),2 ,(0),2.4 ,3 ,0.10,0.04 ,0.5,0.23 ,0.08 ,-,25 ,(0),0,JAPAN('15)
,,"Lima bean(Phaseolus lunatus L.), Boiled",,,,,,,,,,,,,,,,,,,,,,,"Lima bean(Phaseolus lunatus L.), Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
