번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
2717,제빵,카푸치노붓세,45,160,25,2,7.1,12,70,90,3.8,0.22,2012
2718,제빵,카푸치노츄이스티,50,112.5,15,0.5,6,6,65,13,1.9,0,2015
2719,제빵,카프치노붓세,45,72,11.25,0.9,3.15,5.4,31.5,40.5,1.8,0,2015
2720,제빵,캬아빈 브레드,84,168,0,4.2,0,10.92,218.4,0,2.69,0,2015
2721,제빵,커피번,100,448.32,43.26,7.43,27.28,1.08,317.45,0,10.96,0,2013
2722,제빵,커피번,45,78.75,0,1.35,0,2.25,72,0,2.7,0,2015
2723,제빵,커피카야번,105,383.25,0,8.4,0,24.15,252,0,9.45,0,2015
2724,제빵,케이크속에순우유,72,154.8,0,2.16,0,8.64,32.4,0,7.2,0,2015
2725,제빵,케익꽤배기도넛,85,246.5,0,5.1,0,8.5,280.5,0,3.32,0,2015
2726,제빵,코르네파이,48,260,20,2,19,3,210,5,8,0.25,2012
2727,제빵,코코넛먼치킨,60,183,0,1.8,0,10.8,114,0,6.6,0,2015
2728,제빵,코코넛초코도넛,63,171.99,0,1.89,0,8.19,186.48,0,5.67,0,2015
2729,제빵,콘소보루빵,68,136,0,2.72,0,7.48,122.4,0,1.36,0,2015
2730,제빵,콩범벅페스트리,81,208.17,31.59,4.05,7.29,6.48,135.27,12.15,3.24,0,2015
2731,제빵,콩크림치즈,93,283.65,39.06,6.51,12.09,13.02,234.36,26.97,5.58,0,2015
2732,제빵,콰트로치즈 와플,115,632.5,0,18.4,0,25.3,1081,0,11.5,0,2015
2733,제빵,쿠키앤치즈,47,75.2,7.52,1.41,4.7,3.76,74.73,9.87,2.35,0,2015
2734,제빵,쿠키앤치즈케이크,50,165,13,2,8,9,95,35,7,0.34,2012
2735,제빵,크라운초코,47,92.59,7.99,0.94,6.58,6.11,40.89,18.33,3.29,0,2015
2736,제빵,크랜베리 휘낭시에,30,120,12,2,7,8,45,15,4.5,0.15,2012
2737,제빵,크랜베리소보루패스츄리,100,423.34,47.4,8.23,22.31,10.49,390.62,0,9.31,0,2013
2738,제빵,크랜베리스콘,75,210,30,3,9,9,277.5,26.25,5.25,0,2015
2739,제빵,크랜베리애플 크림치즈,85,225.25,0,4.25,0,21.25,178.5,0,3.91,0,2015
2740,제빵,크랜베리월넛쿠키,100,495.09,64.84,5.76,23.63,29.08,425.45,0,3.84,0,2013
2741,제빵,크랜베리필드,55,107.25,14.85,2.2,4.4,6.05,99,0,2.69,0,2015
2742,제빵,크렌베리 브레드,100,265.83,50.6,10.21,2.51,10.17,291.27,0,0.38,0,2013
2743,제빵,크렌베리피칸,100,296.37,48.84,8.9,7.27,12.07,260.57,0,0.63,0,2013
2744,제빵,크로와상,56,120.4,12.32,1.68,7.28,2.24,120.4,7.84,3.36,0,2015
2745,제빵,크로크무슈,100,350.41,26.77,11.79,21.8,2.98,502.03,0,7.31,0,2013
2746,제빵,크림을 넣은 초코 소보로,86,275.2,0,9.46,0,14.62,266.6,0,4.3,0,2015
2747,제빵,크림치즈 프레즐,99,267.3,0,7.92,0,4.95,326.7,0,3.96,0,2015
2748,제빵,크림치즈곡물페스츄리,74,196.1,0,3.7,0,7.4,170.2,0,7.4,0,2015
2749,제빵,크림치즈넛츠스틱,65,126.75,0,3.25,0,4.55,162.5,0,1.56,0,2015
2750,제빵,크림치즈머핀,65,191.75,19.5,3.25,11.05,11.7,169,42.25,4.55,0,2015
2751,제빵,크림치즈브레드,81,202.5,0,5.67,0,6.48,202.5,0,4.86,0,2015
2752,제빵,크림치즈시나몬롤,55,96.25,0,1.65,0,4.4,55,0,2.53,0,2015
2753,제빵,크림치즈월넛브레드,86,262.3,0,7.74,0,6.88,240.8,0,1.89,0,2015
2754,제빵,크림치즈찹쌀도넛,56,98,0,1.68,0,2.8,128.8,0,0.95,0,2015
2755,제빵,크림치즈파운드,71,209.45,23.43,3.55,11.36,12.07,234.3,53.25,5.68,0,2015
2756,제빵,크림치즈패스츄리plus,95,294.5,0,4.75,0,10.26,304,0,9.4,0,2015
2757,제빵,크림치즈햄도넛,50,82.5,0,2,0,2.5,90,0,1.4,0,2015
2758,제빵,크림치즈호두빵,100,373.49,37.37,9.62,20.61,5.89,314.05,0,5.61,0,2013
2759,제빵,크림치즈호두빵,91,259.35,0,7.28,0,6.37,227.5,0,5.46,0,2015
2760,제빵,크림패스츄리,78,183.3,0,3.9,0,7.02,187.2,0,5.46,0,2015
2761,제빵,클래식모카,70,147,26.6,3.5,2.8,9.1,184.8,17.5,1.4,0,2015
2762,제빵,키스미쇼콜라,70,196,16.1,2.8,10.5,11.2,31.5,59.5,3.5,0,2015
2763,제빵,키스스트로베리쉬폰,69,131.1,0,2.07,0,10.35,65.55,0,3.45,0,2015
2764,제빵,키즈 미니도넛 세트,60,183,19.2,2.4,11.4,6,204,0,4.8,0,2015
2765,제빵,키즈스토리케이크,60,240,19,3,18,11,90,75,8,0.35,2012
2766,제빵,키즈초코레이싱,47,90.24,7.52,0.94,6.11,5.64,24.44,23.97,3.29,0,2015
2767,제빵,통단팥 품은 계란빵,37,51.8,0,1.11,0,4.44,11.1,0,0.59,0,2015
2768,제빵,통단팥품은계란빵,100,376.72,54.55,6.45,14.75,9.11,86.25,0,4.79,0,2013
2769,제빵,통밀자연그대로,70,122.5,22.4,3.5,1.75,2.8,189,3.5,1.05,0,2015
2770,제빵,통째로고구마식빵,83,174.3,0,4.15,0,6.64,166,0,6.64,0,2015
2771,제빵,통큰팥빵,77,150.15,28.49,3.85,2.31,8.47,58.52,17.71,0.77,0,2015
2772,제빵,트위스트파이,48,81.6,0,0.96,0,2.4,120,0,0.96,0,2015
2773,제빵,특판케익(고구마맛),70,151.2,17.5,3.5,7.7,11.2,35,123.2,3.5,0,2015
2774,제빵,특판케익(고구마맛2단),70,149.8,17.5,2.8,7.7,10.5,32.2,116.9,3.5,0,2015
2775,제빵,특판케익(초코),70,137.2,16.1,2.8,7,9.8,116.2,31.5,2.1,0,2015
2776,제빵,특판케익(초코2단),70,135.8,16.8,2.8,6.3,9.8,118.3,32.2,2.1,0,2015
2777,제빵,티라미수 소프트링,62,142.6,14.88,2.48,8.06,3.72,99.2,0,3.72,0,2015
2778,제빵,티라미수 스퀘어 케잌,71,184.6,19.88,2.84,10.65,4.97,120.7,0,4.26,0,2015
2779,제빵,티라미스 케익,47,68.62,7.05,1.41,3.76,5.17,32.43,42.3,2.35,0,2015
2780,제빵,파리)녹차롤케익,70,133,20.3,2.8,4.2,12.6,70,80.5,1.4,0,2015
2781,제빵,파리)롤케익,70,147,17.5,2.8,7,9.8,87.5,80.5,1.05,0,2015
2782,제빵,파리)명가명품 녹차,50,70,14.5,1.5,1,12,12.5,37.5,0.5,0,2015
2783,제빵,파리)명가명품 벌꿀,50,70,14.5,1.5,1,11.5,12.5,37.5,0.5,0,2015
2784,제빵,파리)명가명품 초코,50,65,14.5,1.5,1,10.5,12.5,37.5,0.5,0,2015
2785,제빵,파리)모카스폰지,70,230,28,4,11,15,140,120,3,0.25,2012
2786,제빵,파리)잉글리쉬파운드케익,60,138,15.6,1.8,7.8,7.2,66,33,3.6,0,2015
2787,제빵,파리)호두파운드케익,60,150,13.8,2.4,10.2,6.6,51,33,3.6,0,2015
2788,제빵,파우더 스트로베리 필드,71,173.95,21.3,2.13,9.23,6.39,106.5,0,3.19,0,2015
2789,제빵,파운드,73,204.4,29.93,2.92,8.03,13.87,65.7,43.8,3.5,0,2015
2790,제빵,파인애플듬뿍패스츄리,100,233.59,34.08,3.34,9.32,3.27,152.03,0,3.51,0,2013
2791,제빵,파티파티치즈케이크,70,210,23,5,11,14,100,105,7,0.6,2012
2792,제빵,팥만주,66,240,42,7,7,19,110,30,1,0.24,2012
